ds,yhat,yhat_lower,yhat_upper
2025-11-01,3313.3396029862715,2859.6719949389094,3783.898969370361
2025-12-01,3328.5362973810597,2815.8494898343374,3837.729795107976
2026-01-01,3827.470380356842,3353.3807632440985,4261.970017462066
2026-02-01,3650.309558470953,3195.076279931296,4064.5878345131136
2026-03-01,3836.2996763793026,3343.011919705768,4294.922640097888
2026-04-01,3513.7877415976313,3091.0647102431535,3974.241301032828
2026-05-01,3789.6612742027387,3311.998979235817,4256.130975011528
2026-06-01,3547.766757483316,3019.1436653079963,4020.8922051048226
2026-07-01,3811.441967324511,3349.611246811308,4256.833050672055
2026-08-01,3783.694687773798,3307.191754939312,4317.643337029148
2026-09-01,3856.7289613538896,3336.2953705389073,4318.551013718003
2026-10-01,3691.08160588592,3196.6797022487376,4157.91793188777
